,Name,Address,입점수,광역시도,시도
361,빽다방,충청남도 천안시 동남구,3,충청남도,동남구
362,빽다방,충청남도 아산시,4,충청남도,아산시
363,빽다방,전라북도 전주시 완산구,5,전라북도,완산구
364,빽다방,경상북도 포항시 북구,2,경상북도,북구
365,빽다방,제주특별자치도 서귀포시,6,제주특별자치도,서귀포시
366,빽다방,충청남도 서산시,1,충청남도,서산시
367,빽다방,전라남도 광양시,1,전라남도,광양시
368,빽다방,충청남도 천안시 서북구,5,충청남도,서북구
369,빽다방,충청남도 천안시 동남구,3,충청남도,동남구
370,빽다방,전라남도 무안군,1,전라남도,무안군
371,빽다방,전라북도 정읍시,1,전라북도,정읍시
372,빽다방,충청남도 당진시,3,충청남도,당진시
373,빽다방,충청남도 당진시,3,충청남도,당진시
374,빽다방,제주특별자치도 서귀포시,6,제주특별자치도,서귀포시
375,빽다방,경상남도 진주시,4,경상남도,진주시
376,빽다방,경상남도 통영시,3,경상남도,통영시
377,빽다방,경상남도 거제시,2,경상남도,거제시
378,빽다방,경상남도 진주시,4,경상남도,진주시
379,빽다방,경상남도 고성군,2,경상남도,고성군
380,빽다방,제주특별자치도 서귀포시,6,제주특별자치도,서귀포시
381,빽다방,경상남도 거창군,1,경상남도,거창군
382,빽다방,전라남도 목포시,3,전라남도,목포시
383,빽다방,충청남도 홍성군,2,충청남도,홍성군
384,빽다방,충청남도 보령시,1,충청남도,보령시
385,빽다방,경상북도 예천군,1,경상북도,예천군
386,빽다방,제주특별자치도 서귀포시,6,제주특별자치도,서귀포시
387,빽다방,서울특별시 서초구,9,서울특별시,서초구
388,빽다방,서울특별시 동대문구,5,서울특별시,동대문구
389,빽다방,서울특별시 광진구,5,서울특별시,광진구
390,빽다방,서울특별시 송파구,11,서울특별시,송파구
391,빽다방,서울특별시 광진구,5,서울특별시,광진구
392,빽다방,서울특별시 중구,7,서울특별시,중구
393,빽다방,서울특별시 강동구,5,서울특별시,강동구
394,빽다방,서울특별시 강동구,5,서울특별시,강동구
395,빽다방,서울특별시 구로구,5,서울특별시,구로구
396,빽다방,부산광역시 중구,3,부산광역시,중구
397,빽다방,서울특별시 강서구,8,서울특별시,강서구
398,빽다방,서울특별시 양천구,4,서울특별시,양천구
399,빽다방,서울특별시 성북구,6,서울특별시,성북구
400,빽다방,서울특별시 관악구,5,서울특별시,관악구
401,빽다방,서울특별시 강북구,1,서울특별시,강북구
402,빽다방,서울특별시 강남구,16,서울특별시,강남구
403,빽다방,서울특별시 관악구,5,서울특별시,관악구
404,빽다방,서울특별시 은평구,6,서울특별시,은평구
405,빽다방,부산광역시 동래구,2,부산광역시,동래구
406,빽다방,서울특별시 서대문구,4,서울특별시,서대문구
407,빽다방,서울특별시 용산구,4,서울특별시,용산구
408,빽다방,부산광역시 해운대구,4,부산광역시,해운대구
409,빽다방,부산광역시 중구,3,부산광역시,중구
410,빽다방,서울특별시 서초구,9,서울특별시,서초구
411,빽다방,서울특별시 강남구,16,서울특별시,강남구
412,빽다방,부산광역시 연제구,1,부산광역시,연제구
413,빽다방,서울특별시 용산구,4,서울특별시,용산구
414,빽다방,서울특별시 마포구,6,서울특별시,마포구
415,빽다방,서울특별시 광진구,5,서울특별시,광진구
416,빽다방,서울특별시 용산구,4,서울특별시,용산구
417,빽다방,서울특별시 강동구,5,서울특별시,강동구
418,빽다방,서울특별시 광진구,5,서울특별시,광진구
419,빽다방,서울특별시 강남구,16,서울특별시,강남구
420,빽다방,서울특별시 은평구,6,서울특별시,은평구
421,빽다방,부산광역시 금정구,3,부산광역시,금정구
422,빽다방,서울특별시 서초구,9,서울특별시,서초구
423,빽다방,서울특별시 송파구,11,서울특별시,송파구
424,빽다방,서울특별시 영등포구,6,서울특별시,영등포구
425,빽다방,서울특별시 은평구,6,서울특별시,은평구
426,빽다방,서울특별시 동작구,4,서울특별시,동작구
427,빽다방,부산광역시 금정구,3,부산광역시,금정구
428,빽다방,서울특별시 은평구,6,서울특별시,은평구
429,빽다방,서울특별시 은평구,6,서울특별시,은평구
430,빽다방,서울특별시 송파구,11,서울특별시,송파구
431,빽다방,서울특별시 노원구,5,서울특별시,노원구
432,빽다방,부산광역시 해운대구,4,부산광역시,해운대구
433,빽다방,서울특별시 영등포구,6,서울특별시,영등포구
434,빽다방,서울특별시 강남구,16,서울특별시,강남구
435,빽다방,서울특별시 마포구,6,서울특별시,마포구
436,빽다방,서울특별시 강남구,16,서울특별시,강남구
437,빽다방,서울특별시 강남구,16,서울특별시,강남구
438,빽다방,서울특별시 중구,7,서울특별시,중구
439,빽다방,부산광역시 남구,1,부산광역시,남구
440,빽다방,부산광역시 해운대구,4,부산광역시,해운대구
441,빽다방,서울특별시 동대문구,5,서울특별시,동대문구
442,빽다방,부산광역시 북구,3,부산광역시,북구
443,빽다방,서울특별시 강남구,16,서울특별시,강남구
444,빽다방,서울특별시 강서구,8,서울특별시,강서구
445,빽다방,서울특별시 서초구,9,서울특별시,서초구
446,빽다방,서울특별시 강동구,5,서울특별시,강동구
447,빽다방,서울특별시 송파구,11,서울특별시,송파구
448,빽다방,서울특별시 영등포구,6,서울특별시,영등포구
449,빽다방,서울특별시 동작구,4,서울특별시,동작구
450,빽다방,서울특별시 양천구,4,서울특별시,양천구
451,빽다방,서울특별시 마포구,6,서울특별시,마포구
452,빽다방,서울특별시 종로구,7,서울특별시,종로구
